为了体验下在太空里那种失重旋转的感觉自己做了辆失重离心车,"['八岁那年我想当太空人，爷爷奶奶可高兴了，给了我耿哥的联系方式\n今年，我又八岁了', '自上次糊涂老板下单后，耿哥痛定思痛，终于造出了又一个真正没人敢体验的刑。。。产品( ´_ゝ｀)', '夏天来了，我们云南的野生菌也要上市了，这个可以拿去给食用野生菌中毒的人催吐去', '当年唐僧要是也有一辆，那刚出长安就上西天了']"
求求你别停产！这玩意我能吃一辈子！！,"['置顶这是什么神仙友谊，话说我也有点怀念儿时的味道了，大家还有什么🤔忘不掉的记忆中的味道吗？', '原来这个雪糕已经是十年前的产物了吗？', '当年我买不起，现在它停产了', '我真的非常非常想知道老冰棍儿到底是怎么做的。看起来超级简单但是我就永远做不出那个味道']"
《本草纲目》，但是废话文学,"['看完整个视频的我：真的有改词吗，完全没有违和感，非常顺畅', '周董但凡唱的清楚一点也不至于up修改的如此没有违和感', '就跟周杰伦演唱会忘词了现编的一样', '周杰伦：“我先告白气球，下一个就告你。”']"
【我的世界 4K】一人，四年，十亿方块，一座华夏城,"['置顶大家好，我是GNwork团队的负责人之一，补充一下几点：\n\n1.可以多多关注我们团队之前的投稿哦，有非常多很优秀的作品，例如【烧光预算】【我们的世界】【像素中华】【基建狂魔】等等。后面也还有很多活，也请期待我们后续的作品！\n\n2.标题的十亿方块不是夸张，而是保守估计。MC建筑已经有很多创作辅助工具了，能帮我们节省大量枯燥的重复劳动，专心做规划、设计和细节。不过在mc建筑还是很肝就是了……\n\n3.应一些观众要求，精选了一些壁纸，已经发在up主的主页动态啦', '《渝阳城记》\n老树盘根石桥边，长廊路转亭忽见。\n渝阳江头寻知己，欲登楼台觅红颜。\n千载悠悠筑梦景，万空邈邈上云晴。\n九层高阁湖中影，十里华灯月间明。', '作为一个山顶洞人，我们玩的真的是一个游戏么？？', '一座古城的建设往往需要几年甚至几十年，而要摧毁这美妙绝伦的建筑却仅仅只需几天或者一刹那，所以请大家自觉爱护古建筑，既然不是你建成的也就没有资格书画']"
只要5分钟，请为你的妈妈看完这个视频吧,"['母亲不会在回忆中碎裂,总有人会把她拼接成一份感动', '你有多不想生孩子，你就知道她有多伟大', '“有的时候\n我真希望她也能过好自己的人生”', '我的妈妈很普通，她好像什么都给不了我，却把什么都给了我']"
“历史书太小 装不下一个人波澜壮阔的一生 历史书又太大 装下了华夏上下五千年 ”,"['置顶点个关注吧，有我一碗饭吃，就有你一个碗洗 ', '寇可往，吾亦可往。封狼居胥，勒石燕然，饮马瀚海，梨庭扫雪。', '清朝林则徐，左宗棠这些人也是值得敬佩的', '朱祁镇：去瓦剌打一场，留个学，叫个门，千古罪人，让史书唠一辈子\n朱允炆：还好，我差点查无此人了\n朱重八：除了我的标儿一个比一个拉啊\n嘉靖：丹药！拿丹药来！上天又派这个海瑞来跟朕斗法来了！']"
华 妃 之 怒,"['下一集端妃吃红花得道 成红花娘娘 甄嬛受舒痕胶熏陶 练成不坏金身 鸟妃吃苦杏仁遮天蔽日', '我很好奇Up主每天是以哪种精神状态下工作生活的', '华妃娘娘出身骁勇世家，真真是不失家门风范', '三阿哥每日苦练长高，终成巨人脚踏紫禁城']"
G2：打T1这事儿还得我来教你！,"['置顶MSI比赛开始后还会有新活儿', 'van强哥？？？？？', '我单方面宣布本次视频是有史以来最绝的活，并且强烈要求申遗', '《灯笼与生命》']"
掀开满层辣椒，终于明白，这玩意儿为啥能火爆夜宵街头了！,"['置顶这次到万州，尝了尝当地的烤鱼，很喜欢吃！看到大家有关于哪家更好吃的讨论，也有因为位置相近把我们去的认错的hhh其实拍之前大佬踩点，吃过几家不同的烤鱼，最后选了比较适合我们自己口味的来拍，因为想向大家介绍当地各种类型的美食，而不是具体推荐某家店，所以没有露出店名。也看到一些评论因此搞混了。不过，大家如果有自己心仪的烤鱼小店可以互相分享哈，希望大家开心！', '万州烤鱼学院是真的 官方路过', '今天是5月6日，杨女士骨折的第17天，居家的第53天，想吃烤鱼的第1天....', '在万州碰到了盗月社，真的感觉很幸运，还聊了一会天，感觉沐上和树梢人真的很好']"
⚡️第一次当妈，没啥经验⚡️,"['妈妈是第一次当妈妈，没有人教她，她做的很好。\n我是第一次当孩子，很多人教我，可我做的还远远不够。', '剪辑很棒诶！ 第一段很契合标题，母亲们是""没啥经验""，配乐也是相对轻松活泼 。第二段，音乐激昂起来咯！坚强伟大的母亲们勇敢保护娃娃们!   第三段，音乐舒缓平和，母子温馨暖心场景!   最后音乐开开心心结尾，主题随之升华，母子自由翱翔山间选的妙诶！  当然最后up还提醒我们要一键三连了。   真是很圆满的一份视频', '视频很棒，我要去给妈妈打电话了', '我想起了那张图，一个表情包。\n叫:我们生命中最美好的日子.jpg\n图片展示了一只大猫和一只小猫。\n大猫被p上了:接我放学回家的妈妈  字样\n小猫被p上了:告诉她今天在学校发生了什么的我  字样']"
东汉顶流格局有多大？【小约翰】,"['置顶催更成功！双倍快乐！\n听说点赞更容易出三皇吕蒙马超张机马岱关羽……', '按照以往的规律来看，今天恰饭，明天就是正片了。\n如果可汗不顺应天道的话，还请各位同我提刀上洛，与死耗子痛陈利害。', '记得之前哪位老师说过：张角虽然没有资格上牌桌，但是他确是那个洗牌的人', '灵帝卖官鬻爵获得了2000铜币，灵帝再次卖官鬻爵获得了2000铜币，召唤巨大喷流！']"
这绝对是你见过的最像费玉清版的爱情恰恰,"['这个世界没有你在乎的人了吗', '姐姐，您就一点点的创作瓶颈都没有吗？尤其是看到您的恰恰琪琪蹦蹦。。。我都怀疑您有四重人格了', '好消息：首页来的\n坏消息：首页来的', '不是up浮夸，是费玉清的表演本来就浮夸']"
今年23岁！我居然被迫剃了寸头！,"['下一季跟我 我帮你复仇', '我超，帅的啊！这不是血赚？', '帅的', '还挺帅的，虽然有点像少管所出来的，但是很有少年感，像少年犯，可是还是帅的，就是有点像刚刑满释放，虽然仍然是帅的……']"
用【本草纲目】演奏【本草纲目】,"['置顶好多人都说太闪了所以我又上传了一个不那么闪的版本如果这个版本看着有点奇怪是因为我电脑内存不够把原工程删了、黑背景是后面加上去的～', '《已扎根千年的汉方，有别人不知道的力量》', '木贼：发散风热药。疏散风热，明目退翳。\n瓜蒌：清化热痰药。清热化痰，宽胸散结，润肠通便。\n只会死背', '虚假的音乐区:各种拿手乐器秀的飞起✖️\n真正的音乐区:试试这玩意儿能不能造曲✔️']"
原来名校的答辩PPT长这样，怪不得导师要给满分！,"['置顶关于答辩PPT，大家还有什么疑问，欢迎评论区留言~', '不要动画，不要写聆听，加上ppt页码，字要少，字号不小于20，图表要多，研究背景和目的一句话带过，主要说分析和结论。我个人是同组40个人唯一一个被评审组一致夸赞的，个人经验分享，希望对大家有帮助，祝大家答辩顺利。', '这个我懂，只要答辩结尾加一句相关工作以第一作者发表于Nature就可以了', '我直接把大老板报奖申项目的ppt拿来当模板']"
全世界仅此一辆！用96天为我的宝贝造出一辆兰博基尼 Vision GT概念超跑,"['置顶很多朋友好奇，我儿子到底有多少辆跑车，这辆布加迪CR7也是我做的', '这明显是自己想玩', '这对小孩来说还为时尚早，但是对我来说刚刚好！', '下一集，儿子看了广岛长崎纪录片，用时96天为宝贝整出来一颗核弹']"
【洛天依AI】玫瑰与泪【ACE COVER】,"['现在这个声音可以让洛佬的声音不劝退新人了吧，也更容易出圈了', '没有机械感，但也不像真人', '感觉活过来了……好震撼\n就是有机械感有感情但是又没有很像人声，声线可能不是很像但是有处处有着洛佬的感觉，说是新歌姬我也信，但是又觉得很有洛味\n希望最后选的人设可以贴ai的声线\n（背诵一遍教主圣经）\n感觉她自己在成长，在发展，发展过程中听众和p主也会选择更好的她，相信最后也会呈现更多样的她（激动得有些语无伦次）', '我真是\n她怎么\n为啥啊']"
峡谷科目四世界纪录：5分4秒速杀小龙！自信即是巅峰！！,"['置顶好兄弟们果然是各显神通！这就是LOL的魅力吗！那么本次最佳创意奖我最后是投给了滑板鞋思路，这个打法不仅是思路上让人眼前一亮，充分利用了英雄技能的机制和拉野技巧，而且瞬杀小龙的镜头也充满了观赏性！只能说这孩子打小就聪明！在和布锅锅商量过后我们决定让“云游的召唤师”和“森森森suzuko”共同获奖，来平分这次的奖金！ 希望大家继续关注我们的峡谷科目四挑战！', '按e查看叠矛层数', '狗头吧:都说了，这游戏的终点就是闻经验。', '锅锅，3d小龙整活就不提我名字咯。']"
长视频来啦，在b站我还是个新手村的up主，非常感谢大家的认可和支持，我也会一如既往，继续坚持。,"['置顶突然发现来b站确实晚了，大家的评论让我很感动，谢谢谢谢', '真的，很有意义，如果我是山里的小孩子，见过这个场景，一定会在心里埋下种子，无论是画画还是远方，都是值得期待的', '奶奶一听到不要钱就说是不是国家派来的，我觉得这种下意识的习惯性的话，正是对我们国家工作的极大认可。up的画也不仅仅是美化乡村，更是会给当地人潜移默化的影响，今日种下了种子，明日将开出怎样绚烂的花呢', '这个奶奶也很热爱生活啊，会把花花草草戴到头上']"
【颈椎自救】5个最舒服的康复动作，缓解肩颈疼痛僵硬！(坐姿版),"['置顶脊柱矫正+坐姿调整【脊柱矫正】5招缓解疼痛僵硬；坐姿调整，恢复腰颈椎健康！', '那这个也要跟练版！！！', '1.颈部前侧拉伸  两侧各30s\n轻轻按住锁骨位置，慢慢向左抬头 拉伸右侧颈部，感有酸胀但舒适感。之后慢慢向右抬头，拉伸左侧颈部。注意不要太用力，有轻微拉伸感即可。\n2.颈部后侧拉伸 两侧各30s\n右手抓住椅子或背在身后，头转向左侧，左手轻轻牵拉头部，眼睛慢慢往下看，拉伸右侧后颈部。换边同理。\n3.颈椎牵引  30s\n双手抱住头颈链接部，头往后仰，手往下拉，做对抗运动，保持30s。有助于恢复颈椎生理曲度。\n4. 肩膀绕圈 \n肩膀从前向后绕圈 向上耸起时微微仰头。有助于回复肩颈肌肉弹性。\n5.肩颈伸展 30s\n双手抓住椅背或在背后互握 仰头挺胸保持30s，拉伸颈部和肩膀前侧，有助于纠正头前伸和富贵包。', '肩膀痛的人这些动作应该差不多都自己慢慢摸索出来了吧']"
一键蒸发7000血的套路！对手：我去！外挂！！！【有点骚东西】,"['置顶明天抽皮肤哈！顺便上一期没看的快来看看！\n永久150%减伤盖伦！5个人都还在刮痧？！【有点骚东西】', '卡特能抗他一枪吗？', '非常喜欢英雄联盟中刘备的一句话:成长，生命，幸福，还有…', '卡特到底能抗几刀？！啊啊啊啊啊啊啊啊啊啊啊啊啊啊为什么还不说！你给我去SPA！！！！！']"
为了这个视频，我老公去借了一辆劳斯莱斯.......,"['你们都在夸卡琳娜帅，我就先祝一下卡琳娜母亲节快乐', '你们以后给查理苏找cos能不能按卡琳娜这个标准找啊？或者你们请卡琳娜本人cos查理，我也觉得完全没问题的ok？@光与夜之恋 ', '不要天天说仲尼油腻什么的……有些人真的会把“喜欢卡琳娜”当挡箭牌……喜欢她那么嘴她的爱人就有理了？？？人家就是正经夫妻俩，你个外人说什么都是外人哈，仲尼卡琳娜脾气好且珍惜粉丝的支持所以不说什么，但是你们留点口德行不行（请务必对号入座', '别的up模仿的是纸片，只有卡琳娜让我觉得查理苏真的活了']"
真正的服装设计师看《明日方舟》里时装的反应！,"['当我退坑了明日方舟之后怎么感觉每个软件都在暗示我：“不，你还想玩......”', '方舟的衣服属于，看起来都仿佛能穿出去，但实际上对材质要求特别高，一看就是穿不起的那种，对身材和长相还十分挑剔，就算最不挑的博士那套，我都很难看到有穿好看了的', '当时听到那个为斯卡蒂献上心脏，有点绷不住了，死去的老梗突然攻击我', '老鲤身上那些其实不是配饰，\n都是，吃饭的，家伙']"
【阿坝吃饭故事03】汶川,"['置顶致敬生生不息的汶川', '我喜欢食贫道的很大一个原因就是，他们一直在尝试着去发掘味道与人之间的关联，而不是单纯的探店。\n味觉记忆的背后是当地城市千百年以来所经历的沉浮，它像是一本“地方志”，里面记载了这个城市所有的伤痛、喜悦、别离和相逢。\n十四年，自难忘。', '您现在看到的是前央视总台驻俄罗斯记者。曾走遍切尔诺贝利，也亲身经历报道过战争冲突，疫情期间第一时间奔赴武汉，吃遍北到北极圈南到海南岛，西到中东土耳其叙利亚伊拉克东到古巴，以及全中国大小城市无数。大开大合，像极了爱情，不是个爱吃肉的人，吃美食时痛苦面具，吃完了之后各种憨笑，拥有百万摄影，千万剪辑团队的性感大嘴唇子充满人文关怀和文艺细胞的饼叔', '看到开头的汶川两个字我就憋不住了，一下子想起那天从教学楼里跑出去，英语老师移开挡路的凳子让学生先跑，自己最后出去；在寄宿制学校里不知道怎么办的时候，在校门口看到家里的亲戚来接我；晚上睡在路中间的绿化带，被突然来的暴雨砸醒；后面在慢慢变好，我们也开学了，但是每年看到512的消息，即使我已经成年了工作了还是会忍不住，原来这个已经成了内心里的一道疤…']"
【动画毕设】《蓝骑士》,"['置顶说一些里面的要素吧\n首先是很冲的死亡细胞味道\nboss场地参考了魂三的教枪和费莲诺尔\n角色的盔甲是黑魂的上级骑士套\nboss的脚步声音应该是黑魂里的敌人脚步声，推测是幽邃教堂骑士\n商人卖的武器里有魂系列的大剑、无名的猎龙剑枪、不死队的法兰大剑右手部分等等\n欢迎补充\nup想必也是老ass和细胞人了', '最后没有用平底锅，你把初心忘了，哼', '死亡细胞+黑暗之魂三环城教堂之枪大杂烩 ？', '商店右边的武器架上甚至还有把黑魂狼大剑']"
爆肝30天，我用3000块多米诺骨牌画了个龙珠,"['置顶这次画了3000块骨牌\n大概花了30天时间\n其中包含在同一套牌上画倒下的AB两面（悟空的变身版和与贝吉塔合体版）\n还要保证立起来的C面（悟空原版）图案不变\n这在很大程度的拉长了制作时间\n但最难的是每次快排好手抖的瞬间\n还有最后没有全部倒下的失误（失败的次数也就八次左右）\n这些失误占总制作时间的一半有余\n虽然制作中间曾经一度想要放弃\n但是好在最后还是坚持下来了\n希望喜欢的小伙伴多多关注\n你的一键三连就是对我最大的正反馈', '视频创意力、技术力、肝力都挺强；但绘画区视频前摇太长、太乱的话，观众留存率完播率数据会不太好；vlog部分太长不适合绘画区大部分观众的观看习惯；绘画区的视频得封面标题吸引点进来，精简前摇或提前展示部分成品来吸引观众留存率，最好最后的成果展示比一开始更惊艳（这样三连更多）；如果是做教程更要清晰精简；祝火', '好厉害啊龙珠迷狂喜', '牛逼，我是一看原来是龙珠马上三连了，如果是标签有龙珠的话肯定火']"
【顶流的诞生】农村小伙自制奢侈品大牌 | 极限反差 | 纪梵希 维密 |,"['让我真切的意识到男人的头肩比有多重要了', '维多利亚的秘密，不应该只有内衣吗？', '造型牛b不牛b我不清楚。滤镜p图是真牛p', '我每次注意修片的不是脸蛋 反而是肩膀😂每次都盯着看修完后很宽大 很直角的肩膀😂']"
